fid,name,name_en,name_he,name_cn,level1,level2,level3,level4,level5,level6,level7,level8,level9
15618,coffee_made_in_an_esspresso_machine_decaffeinated,"coffee, made in an esspresso machine, decaffeinated","קפה, מוכן אספרסו, נטול קפאין",,,,,,,coffee_made_in_an_esspresso_machine_decaffeinated,,,
16909,coffee_drinks,coffee drinks,משקאות קפה,,,,coffee_drinks,,,,,,
934,affogato,affogato,אפוגטו,阿芙佳朵,,,,affogato,,,,,
1486,coffee_granita,coffee granita,קפה גרניטה,咖啡冰沙,,,,coffee_granita,,,,,
16930,coffee_substitutes,coffee substitutes,תחליפי קפה,,,,,coffee_substitutes,,,,,
15636,coffee_prepared_a_substitute_for_chicory_chicory_decaffeinated,"coffee, prepared, a substitute for chicory-chicory, decaffeinated","קפה, מוכן, תחליף מצ'יקוריה - עולש, ללא קפאין",,,,,,coffee_prepared_a_substitute_for_chicory_chicory_decaffeinated,,,,
15634,coffee_ready_to_drink_grains_substitute_postum_no_caffeine,"coffee, ready to drink, grains substitute, postum, no caffeine","קפה, מוכן, תחליף מדגנים, postum, ללא קפאין",,,,,,coffee_ready_to_drink_grains_substitute_postum_no_caffeine,,,,
17019,coffee_with_soy_milk,coffee with soy milk,קפה עם חלב סויה,,,,,coffee_with_soy_milk,,,,,
1487,flavored_coffee,flavored coffee,קפה בטעמים,加味咖啡,,,,flavored_coffee,,,,,
15619,coffee_made_with_grounded_coffee_plain_different_flavores,"coffee, made with grounded coffee, plain, different flavores","קפה, מוכן מקפה טחון, רגיל, בטעמים",,,,,,coffee_made_with_grounded_coffee_plain_different_flavores,,,,
1932,ice_coffee,iced coffee,אייס קפה,冰咖啡,,,,ice_coffee,,,,,
12856,ice_coffee_aroma,ice coffee aroma,אייס ארומה,,,,,,ice_coffee_aroma,,,,
12857,ice_coffee_diet_aroma,ice aroma diet,דיאט אייס ארומה,,,,,,ice_coffee_diet_aroma,,,,
1488,irish_coffee,irish coffee,קפה אירי,爱尔兰咖啡,,,,irish_coffee,,,,,
16965,sweetened_coffee,sweetened coffee,קפה ממותק,,,,,sweetened_coffee,,,,,
15624,coffee_machine_made_with_coffee_whitener_and_sugar,"coffee, machine-made, with coffee whitener and sugar","קפה, מוכן ממכונה, עם מלבין וסוכר",,,,,,coffee_machine_made_with_coffee_whitener_and_sugar,,,,
15622,coffee_made_of_instant_powder_coffee_whitener_and_sugar,"coffee, made of instant powder, coffee whitener and sugar","קפה, מוכן מאבקת אינסטנט, עם מלבין וסוכר",,,,,,coffee_made_of_instant_powder_coffee_whitener_and_sugar,,,,
15623,coffee_made_of_instant_powder_no_coffee_whitener_sweetened,"coffee, made of instant powder, no coffee whitener, sweetened","קפה, מוכן מאבקת אינסטנט, ללא מלבין, ממותק",,,,,,coffee_made_of_instant_powder_no_coffee_whitener_sweetened,,,,
16717,coffee_ready_for_cold_drink_ice_cafe_elite,"coffee, ready for cold drink, ice cafe, elite","קפה ,מוכן מאבקה להכנת משקה קר, אייס קפה, עלית",,,,,,coffee_ready_for_cold_drink_ice_cafe_elite,,,,
15616,coffee_turkish_black_and_sweetened,"coffee, turkish / black and sweetened","קפה, מוכן טורקי/שחור ממותק",,,,,,coffee_turkish_black_and_sweetened,,,,
15626,prepared_sada_coffee_arab_coffee_is_especially_concentrated,prepared sada coffee - arab coffee is especially concentrated,קפה סאדה מוכן - קפה ערבי מרוכז במיוחד,,,,,,prepared_sada_coffee_arab_coffee_is_especially_concentrated,,,,
15615,turkish_coffee_black_sweetened_coffee,turkish coffee / black sweetened coffee,"קפה טורקי/ שחור ממותק, הוכן בכלי מרכזי",,,,,,turkish_coffee_black_sweetened_coffee,,,,
621,energy_drink,energy drink,משקאות אנרגיה,能量饮料,,,energy_drink,,,,,,
15922,energy_drink_fruit_tasting,"energy drink, fruit tasting","משקה אנרגיה, טעמי פירות",,,,,energy_drink_fruit_tasting,,,,,
16613,energy_drink_red_bull_xl_sugar_free_no_caffeine_added,"energy drink, red bull / xl, sugar free, no caffeine added","משקה אנרגיה, red bull/xl, ללא סוכר, עם תוספת קפאין",,,,,energy_drink_red_bull_xl_sugar_free_no_caffeine_added,,,,,
16612,energy_rich_beverage_with_caffeine_red_bull_xl_blu,"energy-rich beverage with caffeine, red bull / xl / blu","משקה עתיר אנרגיה עם קפאין, red bull/xl/blu",,,,,energy_rich_beverage_with_caffeine_red_bull_xl_blu,,,,,
12315,isotonic_drink,isotonic drink,משקה איזוטוני,,,,,isotonic_drink,,,,,
12426,isotonic_drink_isostar_ready,"isotonic drink, isostar, ready","משקה איזוטוני, איזוסטאר, מוכן",,,,,,isotonic_drink_isostar_ready,,,,
15923,hazelnut_juice_alpro,"hazelnut juice, alpro","משקה אגוזי לוז, אלפרו",,,,hazelnut_juice_alpro,,,,,,
625,juice,juice,מיץ,,,,juice,,,,,,
15678,100_pineapple_juice_squeezed,"100% pineapple juice, squeezed",מיץ אננס 100% סחוט,,,,,100_pineapple_juice_squeezed,,,,,
1475,apple_juice,apple juice,מיץ תפוחים,苹果汁,,,,apple_juice,,,,,
15900,100_apple_juice_squeezed_priniv,"100% apple juice squeezed, priniv","מיץ תפוחים 100% סחוט, פריניב",,,,,,100_apple_juice_squeezed_priniv,,,,
15675,a_whole_lite_soft_apple_beverage_spring,"a whole lite soft apple beverage, spring","משקה קל תפוחים מלא, ספרינג",,,,,,a_whole_lite_soft_apple_beverage_spring,,,,
14654,apple_juice_cider_drink,"apple juice, cider drink","מיץ תפוחים, משקה סיידר הגליל",,,,,,apple_juice_cider_drink,,,,
14681,apple_nectar_gat_primor_pardes_ganir,"apple nectar, gat, primor, pardes ,ganir","נקטר תפוחי עץ, גת, פרימור, פרדס, גניר",,,,,,apple_nectar_gat_primor_pardes_ganir,,,,
15684,apple_soft_drink_prigat,"apple soft drink, prigat","משקה קל תפוחים, פריגת",,,,,,apple_soft_drink_prigat,,,,
14659,clear_apple_juice_primor_priniv,"clear apple juice, primor, priniv","מיץ תפוחים צלול ,פרימור, פריניב",,,,,,clear_apple_juice_primor_priniv,,,,
14672,diet_apple_nectar,diet apple nectar,נקטר תפוחים דיאט,,,,,,diet_apple_nectar,,,,
15676,diet_apple_soft_beverage_spring,"diet apple soft beverage , spring","משקה קל תפוחים דיאט, ספרינג",,,,,,diet_apple_soft_beverage_spring,,,,
14658,squeezed_apple_juice_prigat,"squeezed apple juice, prigat","מיץ תפוחים סחוט, פריגת",,,,,,squeezed_apple_juice_prigat,,,,
1477,beet_juice,beet juice,מיץ סלק,甜菜汁,,,,beet_juice,,,,,
1474,carrot_juice,carrot juice,מיץ גזר,胡萝卜汁,,,,carrot_juice,,,,,
1480,celery_juice,celery juice,מיץ סלרי,芹菜汁,,,,celery_juice,,,,,
16792,cherry_nectar_spring,"cherry nectar, spring","נקטר דובדבנים, ספרינג",,,,,cherry_nectar_spring,,,,,
1478,cranberry_juice,cranberry juice,מיץ חמוציות,蔓越莓汁,,,,cranberry_juice,,,,,
14660,blueberry_cranberry_juice_unsweetened,"blueberry-cranberry juice, unsweetened","מיץ אוכמניות-קרנברי, לא ממותק",,,,,,blueberry_cranberry_juice_unsweetened,,,,
15777,cranberry_juice_cocktail,"cranberry juice, cocktail","מיץ חמוציות, קוקטייל",,,,,,cranberry_juice_cocktail,,,,
14661,cranberry_nectar_ocean_spray,"cranberry nectar, ocean spray",נקטר חמוציות כולל ocean spray,,,,,,cranberry_nectar_ocean_spray,,,,
14662,diet_cranberry_nectar,diet cranberry nectar,נקטר חמוציות דיאט,,,,,,diet_cranberry_nectar,,,,
1833,grape_juice,grape juice,מיץ ענבים,葡萄汁,,,,grape_juice,,,,,
15668,grape_flavored_drink_crystal,"grape-flavored drink, crystal","משקה בטעם ענבים, קריסטל",,,,,,grape_flavored_drink_crystal,,,,
14664,grape_juice_red_white_tirosh_carmel_mizrahi_metib,"grape juice, red / white, tirosh, carmel mizrahi, metib","מיץ ענבים, אדום/לבן,תירוש, כרמל מזרחי, מטיב",,,,,,grape_juice_red_white_tirosh_carmel_mizrahi_metib,,,,
15667,grapejuice,grapejuice,משקה מיץ ענבים,,,,,,grapejuice,,,,
16704,soft_drink_tropit_star_grape_flavor_jana,"soft drink, tropit, star, grape flavor, jana","משקה קל, טרופית, הכוכב, בטעם ענבים, ג'אנה",,,,,,soft_drink_tropit_star_grape_flavor_jana,,,,
2045,tirosh,tirosh,תירוש,,,,,,tirosh,,,,
1481,grapefruit_juice,grapefruit juice,מיץ אשכוליות,西柚汁,,,,grapefruit_juice,,,,,
15974,diet_soft_drink_grapefruit,diet soft drink grapefruit,משקה קל דיאט אשכולית,,,,,,diet_soft_drink_grapefruit,,,,
14464,grapefruit_and_orange_juice_canned_no_added_sugar,"grapefruit and orange juice, canned, no added sugar","מיץ אשכוליות ותפוזים, משומר, ללא תוספת סוכר",,,,,,grapefruit_and_orange_juice_canned_no_added_sugar,,,,
14465,grapefruit_and_orange_juice_canned_plus_sugar,"grapefruit and orange juice , canned, plus sugar","מיץ אשכוליות ותפוזים, משומר, בתוספת סוכר",,,,,,grapefruit_and_orange_juice_canned_plus_sugar,,,,
14466,grapefruit_and_orange_juice_frozen_restored_in_water,"grapefruit and orange juice , frozen, restored in water","מיץ אשכוליות ותפוזים, קפוא, משוחזר במים",,,,,,grapefruit_and_orange_juice_frozen_restored_in_water,,,,
14463,grapefruit_juice_and_oranges_fresh,"grapefruit juice and oranges, fresh","מיץ אשכוליות ותפוזים, טרי",,,,,,grapefruit_juice_and_oranges_fresh,,,,
14452,grapefruit_juice_canned_in_a_bottle_or_carton_no_additives,"grapefruit juice, canned, in a bottle or carton, no additives","מיץ אשכוליות, משומר, בבקבוק או קרטון, ללא תוספת",,,,,,grapefruit_juice_canned_in_a_bottle_or_carton_no_additives,,,,
14451,grapefruit_juice_freshly_squeezed,"grapefruit juice, freshly squeezed","מיץ אשכוליות, סחוט טרי",,,,,,grapefruit_juice_freshly_squeezed,,,,
14454,grapefruit_juice_frozen_restored_in_water_plus_sugar,"grapefruit juice, frozen, restored in water, plus sugar","מיץ אשכוליות, קפוא, משוחזר במים, בתוספת סוכר",,,,,,grapefruit_juice_frozen_restored_in_water_plus_sugar,,,,
14453,grapefruit_juice_frozen_restored_in_water_without_added_sugar,"grapefruit juice, frozen, restored in water, without added sugar","מיץ אשכוליות, קפוא, משוחזר במים, ללא תוספת סוכר",,,,,,grapefruit_juice_frozen_restored_in_water_without_added_sugar,,,,
14450,grapefruit_juice_squeezed_primor,grapefruit juice squeezed primor,מיץ אשכוליות סחוט פרימור,,,,,,grapefruit_juice_squeezed_primor,,,,
16110,lite_drink_diet_low_calorie_grapefruit_pineapple_spring,"lite drink, diet low-calorie , grapefruit / pineapple, spring","משקה קל, דל קלוריות דיאט, אשכוליות/אננס, ספרינג",,,,,,lite_drink_diet_low_calorie_grapefruit_pineapple_spring,,,,
14456,red_grapefruit_juice_ganir_prigat_priniv,"red grapefruit juice, ganir, prigat, priniv","מיץ אשכולית אדומה, גניר,פריגת, פריניב",,,,,,red_grapefruit_juice_ganir_prigat_priniv,,,,
15663,red_grapefruit_orange_juice_and_mandarin_prigat_jafora_tavori,"red grapefruit / orange juice and mandarin, prigat / jafora tavori","משקה קל אשכולית אדומה/תפוז ומנדרינה, פריגת/יפאורה תבורי",,,,,,red_grapefruit_orange_juice_and_mandarin_prigat_jafora_tavori,,,,
15666,soft_grapefruit_drink_prigat,"soft grapefruit drink, prigat","משקה קל אשכולית, פריגת",,,,,,soft_grapefruit_drink_prigat,,,,
15670,guava_drink,guava drink,משקה גויאבה,,,,,guava_drink,,,,,
699,lemon_juice,lemon juice,מיץ לימון,柠檬汁,,,,lemon_juice,,,,,
16497,lemon_juice_all_types,"lemon juice, all types","מיץ לימון, כל הסוגים",,,,,,lemon_juice_all_types,,,,
15738,lemon_juice_canned,"lemon juice, canned","מיץ לימון, משומר",,,,,,lemon_juice_canned,,,,
15662,lite_drink_lemon_with_mint_lemon_with_mint_primor,"lite drink, lemon with mint / lemon with mint, primor","משקה קל, לימון עם נענע/לימון עם נענע, פרימור",,,,,,lite_drink_lemon_with_mint_lemon_with_mint_primor,,,,
14457,natural_lemon_juice,natural lemon juice,מיץ לימון טבעי,,,,,,natural_lemon_juice,,,,
1472,lemonade,lemonade,לימונדה,柠檬汽水,,,,lemonade,,,,,
14458,homemade_lemonade_drink,homemade lemonade drink,משקה לימונדה ביתית,,,,,,homemade_lemonade_drink,,,,
15972,juice_squeezed_lemonade_prigat,"juice, squeezed lemonade, prigat","מיץ, סחוט לימונדה פריגת",,,,,,juice_squeezed_lemonade_prigat,,,,
15674,lemonade_beverage_ganir,"lemonade beverage, ganir","משקה לימונדה, גניר",,,,,,lemonade_beverage_ganir,,,,
15672,lemonade_beverages,lemonade beverages,משקה לימונדה,,,,,,lemonade_beverages,,,,
15671,lemonade_beverages_frozen_concentrate,"lemonade beverages, frozen concentrate","משקה לימונדה, תרכיז קפוא",,,,,,lemonade_beverages_frozen_concentrate,,,,
15673,lemonade_lemonade_mango_frozen_concentrate_water_restored_prigat,"lemonade / lemonade / mango, frozen concentrate, water-restored, prigat","משקה לימון/לימונענע/מנגו, תרכיז קפוא, משוחזר במים, פריגת",,,,,,lemonade_lemonade_mango_frozen_concentrate_water_restored_prigat,,,,
16509,lemonade_mango_juice_frozen_concentrate_prigat,"lemonade/mango juice, frozen concentrate, prigat","משקה לימון/לימונענע/מנגו, תרכיז קפוא, פריגת",,,,,,lemonade_mango_juice_frozen_concentrate_prigat,,,,
17006,limonana,limonana,לימונענע,,,,,,limonana,,,,
16076,normal_limonana_nectar_prigat,"normal limonana nectar, prigat","נקטר לימונענע, פריגת",,,,,,,normal_limonana_nectar_prigat,,,
1671,pink_lemonade,pink lemonade,לימונדה ורודה,粉红柠檬水,,,,,pink_lemonade,,,,
14676,mango_nectar_prigat,mango nectar prigat,נקטר מנגו פריגת,,,,,mango_nectar_prigat,,,,,
15683,mango_soft_drink_prigat,"mango soft drink, prigat","משקה קל מנגו, פריגת",,,,,mango_soft_drink_prigat,,,,,
12307,mixed_fruits_juice,mixed fruits juice,מיץ פירות,,,,,mixed_fruits_juice,,,,,
16886,apple_blueberries_juice,apple blueberries juice,מיץ תפוחים ואוכמניות,,,,,,apple_blueberries_juice,,,,
14673,apple_pomegranate_nectar,apple pomegranate nectar,נקטר תפוח רימון פריגת,,,,,,apple_pomegranate_nectar,,,,
1718,carrot_and_mango_juice,carrot and mango juice,מיץ גזר ומנגו,芒果胡萝卜汁,,,,,carrot_and_mango_juice,,,,
2186,carrot_apple_and_celery_juice,carrot apple and celery juice,מיץ גזר תפוח וסלרי,,,,,,carrot_apple_and_celery_juice,,,,
15690,diet_fruit_syrup_for_beverages_not_diluted,"diet fruit syrup, for beverages, not diluted","סירופ פירות דיאט, להכנת משקה, לא מדולל",,,,,,diet_fruit_syrup_for_beverages_not_diluted,,,,
15688,diluted_syrup_fruits_for_making_drinks_prigat_orchard_achdut,"diluted syrup, fruits for making drinks, prigat, orchard, achdut","סירופ מדולל, פירות להכנת משקה, פריגת, פרדס, אחדות",,,,,,diluted_syrup_fruits_for_making_drinks_prigat_orchard_achdut,,,,
14678,exotic_tropical_fruits_nectar_ganir_gat_primor,"exotic tropical fruits nectar, ganir, gat, primor","נקטר אקזוטי פירות טרופיים, גניר, גת,פרימור",,,,,,exotic_tropical_fruits_nectar_ganir_gat_primor,,,,
16113,lite_pear_sabers_and_apple_beverage_spring,"lite pear, sabers and apple beverage, spring","משקה קל אגס, סברס, תפוח, ספרינג",,,,,,lite_pear_sabers_and_apple_beverage_spring,,,,
16115,lite_tropical_fruits_drink_spring,"lite tropical fruits drink, spring","משקה קל פירות טרופיים, ספרינג",,,,,,lite_tropical_fruits_drink_spring,,,,
2143,orange_and_pineapple_juice,orange and pineapple juice,מיץ תפוזים ואננס,,,,,,orange_and_pineapple_juice,,,,
2147,orange_carrot_and_banana_juice,orange carrot and banana juice,מיץ תפוז גזר ובננה,,,,,,orange_carrot_and_banana_juice,,,,
2121,orange_carrot_juice,orange carrot juice,מיץ תפוגזר,,,,,,orange_carrot_juice,,,,
16801,100_apple_juice_carrot_and_beets_priniv,"100% apple juice , carrot and beets, priniv","מיץ 100% תפוח, גזר וסלק, פריניב",,,,,,,100_apple_juice_carrot_and_beets_priniv,,,
15901,orange_juice_and_100_carrot_priniv,"orange juice and 100% carrot, priniv","מיץ תפוז וגזר 100%, פריניב",,,,,,,orange_juice_and_100_carrot_priniv,,,
16114,peach_and_plum_soft_drink_spring,"peach and plum soft drink, spring","משקה קל אפרסק, שזיף, ספרינג",,,,,,peach_and_plum_soft_drink_spring,,,,
14656,pear_kiwi_juice_prigat,"pear kiwi juice , prigat","מיץ אגס קיווי, פריגת",,,,,,pear_kiwi_juice_prigat,,,,
14669,pear_nectar_peach_orange_spring,"pear nectar / peach / orange, spring","נקטר אגס/אפרסק/תפוזים, ספרינג",,,,,,pear_nectar_peach_orange_spring,,,,
16092,pineapple_nectar_coconut_fruit_mix,pineapple nectar coconut - fruit mix,נקטר אננס קוקוס- מיקס פירות,,,,,,pineapple_nectar_coconut_fruit_mix,,,,
15660,soft_drink_strawberry_banana_pardes_ganir,"soft drink strawberry banana, pardes, ganir","משקה קל תות בננה, פרדס, גניר",,,,,,soft_drink_strawberry_banana_pardes_ganir,,,,
14674,strawberry_banana_nectar_jafora_ganir_primor_prigat_priniv,"strawberry banana nectar , jafora, ganir, primor, prigat, priniv","נקטר תות בננה,יפאורה,גניר,פרימור,פריגת,פריניב",,,,,,strawberry_banana_nectar_jafora_ganir_primor_prigat_priniv,,,,
1473,orange_juice,orange juice,מיץ תפוזים,橙汁,,,,orange_juice,,,,,
15971,100_orange_juice_made_of_natural_concentrate_prigat,"100% orange juice made of natural concentrate, prigat","מיץ תפוזים 100% הוכן מרכז טבעי, פריגת",,,,,,100_orange_juice_made_of_natural_concentrate_prigat,,,,
15677,citrus_fruits_juice,citrus fruits juice,משקה מיץ מפרי הדר,,,,,,citrus_fruits_juice,,,,
15682,diet_orange_grapefruit_beverage_diet_jump,"diet orange / grapefruit beverage, diet, jump","משקה דיאט תפוז/אשכולית, דיאט, ג'אמפ",,,,,,diet_orange_grapefruit_beverage_diet_jump,,,,
15686,diluted_syrup_citrus_fruit_diet_for_making_a_drink_gat,"diluted syrup, citrus fruit diet for making a drink, gat","סירופ מדולל, פרי הדר דיאט להכנת משקה, גת",,,,,,diluted_syrup_citrus_fruit_diet_for_making_a_drink_gat,,,,
14459,fresh_orange_juice_primor_priniv,"fresh orange juice, primor, priniv","מיץ תפוזים סחוט, פרימור, פריניב",,,,,,fresh_orange_juice_primor_priniv,,,,
